match_id,time,player_A,player_B,score_1,score_2,score_3,competition,court,winner,odds_A,odds_B,last_updated,status,date,rank_A,rank_B,pts_A,pts_B,surface,series,round,season,winner_code
0f39bfa641,04:02,Azkara A./McKennon M.(TUR/USA),Moreno D./Sanchez M.(MEX),6-4,3-6,0-0,"ITF M25 - Xalapa, Mexico",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF M25 - Xalapa, Mexico",,2025,None
e8b45e478e,04:10,Cui Jie(CHN) [298]1.00,Martinez Mikel(ESP)26.0,6-2,2-1,-,"ITF M15 - Luan, China",nan,nan,1.0,26.0,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF M15 - Luan, China",nan,2025,nan
bbe17cae86,04:40,Shimizu Eri(JPN) [373]2.21,Kuramochi Miho(JPN) [391]1.62,1-1,-,-,"ITF W75 - Trnava, Slovakia",nan,nan,2.21,1.62,2025-05-13 22:47,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
b302a0c607,03:12,Cabrera Lizette(AUS) [215]1.41,Yoshimoto Natsuki(JPN)2.77,1-6,7-5,0-0,"ITF W75 - Trnava, Slovakia",nan,nan,1.41,2.77,2025-05-13 22:47,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
f3117e8b34,04:40,Ren Yufei(CHN) [512],Utsunomiya Sae (JPN),2-6,4-1,-,"ITF W75 - Trnava, Slovakia",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Clay,"ITF W75 - Trnava, Slovakia",,2025,None
e0fd15d51e,04:31,Ohwaki Yui(JPN) [1100]1.54,Wakana Ran (JPN)2.38,1-6,4-0,-,"ITF W15 - Toyama, Japan",nan,nan,1.54,2.38,2025-05-13 23:37,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
31d44ac821,03:05,Naito Yuka (JPN)1.36,Kosaka Rira (JPN)2.99,6-1,2-6,4-2,"ITF W15 - Toyama, Japan",nan,nan,1.36,2.99,2025-05-13 22:47,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
33b4ce3f01,04:38,Goto Nanami (JPN)4.54,Lin Fang An(TPE) [941]1.18,0-2,-,-,"ITF W15 - Toyama, Japan",nan,nan,4.54,1.18,2025-05-13 22:47,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
5e4c924114,04:10,Sun Yingqun(CHN) [885]1.28,Liu Le Yi (CHN)3.48,4-4,-,-,"ITF W15 - Maanshan, China",nan,nan,1.28,3.48,2025-05-13 22:47,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
887ba18f85,04:13,Li Jiayou(CHN) [1027]10.9,Zhu Chenting(CHN) [781]1.02,2-6,0-0,-,"ITF W15 - Maanshan, China",nan,nan,10.9,1.02,2025-05-13 22:47,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
3db3b54165,04:08,Isomura Kokoro(JPN) [487]1.17,Bruce-Smith Jack(AUS)4.70,5-6,-,-,"ITF M15 - Luan, China",nan,nan,1.17,4.7,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF M15 - Luan, China",nan,2025,nan
16740a0982,03:12,Cabrera Lizette(AUS) [215]1.12,Yoshimoto Natsuki(JPN)5.51,1-6,7-5,2-0,"ITF W75 - Trnava, Slovakia",nan,nan,1.12,5.51,2025-05-13 22:57,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
3642fd7b13,04:42,Miyata Moeka(JPN)1.80,Yang Ya Yi(TPE) [755]1.95,2-0,-,-,"ITF W15 - Toyama, Japan",nan,nan,1.8,1.95,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
ff5a98d7c0,04:38,Goto Nanami (JPN)7.48,Lin Fang An(TPE) [941]1.07,0-4,-,-,"ITF W15 - Toyama, Japan",nan,nan,7.48,1.07,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
6500beaee1,04:10,Zhang Junhan(CHN) [1152]1.18,Zhang Ying(CHN) [475]4.54,6-3,0-0,-,"ITF W15 - Maanshan, China",nan,nan,1.18,4.54,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
e9f563b5e6,04:40,Shimizu Eri(JPN) [373]3.22,Kuramochi Miho(JPN) [391]1.32,1-3,-,-,"ITF W75 - Trnava, Slovakia",nan,nan,3.22,1.32,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
522161d9e1,03:12,Cabrera Lizette(AUS) [215]1.07,Yoshimoto Natsuki(JPN)7.48,1-6,7-5,2-0,"ITF W75 - Trnava, Slovakia",nan,nan,1.07,7.48,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
a49706c216,04:27,Shimizu Ayano(JPN) [288]1.01,Namigata Junri(JPN) [1166]12.5,5-2,-,-,"ITF W75 - Trnava, Slovakia",nan,nan,1.01,12.5,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
e178670be6,04:10,Sun Yingqun(CHN) [885]1.25,Liu Le Yi (CHN)3.74,5-5,-,-,"ITF W15 - Maanshan, China",nan,nan,1.25,3.74,2025-05-13 22:59,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
